number,id,place,sleep,sport,experience,effect,hygiene,outside,videogame,gamesay,study,social,nap,cluster,dormitory,password
204,190205,1,2,3,2,1,3,1,3,1,3,3,1,2,103,123456
205,190206,1,1,1,2,3,2,1,1,1,1,3,1,116,517,123456
206,190207,1,1,4,1,2,1,1,2,1,2,1,2,88,414,123456
207,190208,2,2,1,1,3,4,2,2,1,3,1,2,29,205,123456
208,190209,2,2,4,1,3,1,2,2,1,3,2,2,29,205,123456
209,190210,1,1,2,2,3,1,2,1,1,2,2,1,44,220,123456
210,190211,2,1,2,2,1,4,2,1,1,1,2,1,44,220,123456
211,190212,2,1,4,2,1,4,1,2,1,2,3,2,13,114,123456
212,190213,1,2,1,1,3,3,2,3,1,2,3,1,135,611,123456
213,190214,1,2,4,1,3,1,2,2,1,3,3,2,136,612,123456
214,190215,2,2,4,2,3,2,1,1,2,2,1,1,2,103,123456
215,190216,2,2,3,1,2,3,2,1,2,1,1,2,29,205,123456
216,190217,2,2,4,1,1,4,2,2,1,2,2,2,65,316,123456
217,190218,1,2,2,2,3,4,2,3,1,3,1,2,176,802,123456
218,190219,1,2,1,1,3,4,1,3,1,1,3,1,157,708,123456
219,190220,1,1,1,2,2,1,1,2,1,2,1,2,116,517,123456
220,190221,1,1,4,1,1,4,1,3,1,3,2,1,157,708,123456
221,190222,2,1,3,2,1,1,1,2,1,2,1,2,116,517,123456
222,190223,1,1,1,1,2,4,1,1,1,2,1,1,158,709,123456
223,190224,2,1,1,2,1,3,1,3,1,1,1,2,13,114,123456
224,190225,2,2,2,1,1,2,1,2,2,1,3,1,88,414,123456
225,190226,1,2,4,1,2,1,1,2,1,2,3,2,89,415,123456
226,190227,1,2,4,2,2,3,2,3,1,1,2,2,176,802,123456
227,190228,2,2,2,2,1,2,2,3,1,2,3,1,176,802,123456
228,190229,1,2,1,1,1,1,2,3,1,3,3,1,136,612,123456
229,190230,2,1,2,1,3,2,2,2,1,3,3,1,65,316,123456
230,190231,1,1,2,1,2,2,1,3,1,2,2,1,89,415,123456
231,190232,2,1,2,2,2,3,2,3,1,2,3,1,45,221,123456
232,190233,1,2,2,2,2,4,2,2,1,2,2,2,177,803,123456
233,190234,2,2,4,2,2,4,1,1,1,1,2,1,3,104,123456
234,190235,2,1,2,2,2,3,1,2,1,1,1,2,14,115,123456
235,190236,1,1,4,2,1,1,1,3,1,2,3,2,14,115,123456
236,190237,1,2,1,1,1,1,2,1,1,3,1,2,136,612,123456
237,190238,1,2,3,1,2,2,2,2,1,3,1,1,30,206,123456
238,190239,2,1,2,1,1,1,2,2,2,3,1,1,30,206,123456
239,190240,2,1,1,2,3,4,1,1,1,3,2,1,14,115,123456
240,190241,1,2,2,2,2,1,1,1,1,1,2,1,116,517,123456
241,190242,2,2,1,2,2,1,2,2,1,3,2,1,177,803,123456
242,190243,2,2,3,1,1,4,2,1,1,3,2,1,65,316,123456
243,190244,1,2,4,2,3,2,2,2,1,1,2,2,177,803,123456
244,190245,1,1,3,1,3,1,1,2,1,1,3,1,89,415,123456
245,190246,2,2,4,2,2,2,2,2,2,1,3,2,177,803,123456
246,190247,2,1,1,2,3,2,2,1,1,3,3,2,45,221,123456
247,190248,1,2,3,1,1,3,2,1,1,2,3,1,136,612,123456
248,190249,1,1,2,1,3,2,2,2,2,3,1,2,30,206,123456
249,190250,1,1,2,1,1,1,1,2,2,1,2,1,89,415,123456
250,190251,2,1,3,2,3,2,2,1,1,3,1,2,45,221,123456
251,190252,1,2,1,1,1,2,1,3,2,1,3,1,89,415,123456
252,190253,1,2,1,2,2,3,2,2,1,1,2,1,177,803,123456
253,190254,2,1,3,2,2,4,1,3,2,2,3,2,14,115,123456
254,190255,1,1,1,1,3,2,2,1,1,3,3,1,136,612,123456
255,190256,1,1,1,1,3,3,1,3,2,2,1,1,158,709,123456
256,190257,1,1,4,2,3,3,2,2,1,3,3,2,45,221,123456
257,190258,1,1,3,2,1,3,2,3,1,3,1,2,45,221,123456
258,190259,1,1,3,1,1,4,1,1,2,3,3,1,158,709,123456
259,190260,2,2,1,1,2,2,1,1,2,2,3,2,90,416,123456
260,190261,2,2,3,1,3,4,1,3,2,1,1,2,158,709,123456
261,190262,1,2,3,1,2,2,2,1,2,2,2,2,137,613,123456
262,190263,2,1,3,2,2,4,1,1,1,2,2,1,14,115,123456
263,190264,2,1,2,2,1,3,2,2,1,3,3,1,46,222,123456
264,190265,1,2,4,1,3,1,1,3,1,2,3,1,90,416,123456
265,190266,1,2,1,1,1,1,2,1,1,1,1,2,137,613,123456
266,190267,1,1,1,2,1,1,1,2,2,1,3,2,15,116,123456
267,190268,2,2,2,2,2,1,1,3,2,3,2,1,116,517,123456
268,190269,1,2,4,1,1,3,1,2,1,2,1,2,158,709,123456
269,190270,1,1,2,1,2,3,2,3,2,2,3,2,137,613,123456
270,190271,2,1,2,2,2,3,2,1,1,1,1,1,46,222,123456
271,190272,1,2,2,2,2,3,2,3,1,1,1,1,178,804,123456
272,190273,2,2,2,1,3,3,1,1,2,2,3,2,90,416,123456
273,190274,1,2,4,2,2,4,1,1,2,1,1,1,3,104,123456
274,190275,2,2,3,1,2,1,1,1,1,2,3,1,90,416,123456
275,190276,2,2,3,2,3,3,2,3,1,1,3,2,178,804,123456
276,190277,1,2,2,1,3,1,1,1,2,2,2,1,90,416,123456
277,190278,2,1,2,1,2,1,1,1,2,2,3,2,91,417,123456
278,190279,2,2,3,2,3,1,1,2,1,2,2,1,117,518,123456
279,190280,1,1,3,1,1,3,2,1,1,2,3,1,137,613,123456
280,190281,2,2,1,2,3,4,2,1,2,2,3,2,178,804,123456
281,190282,2,2,4,2,1,3,1,2,2,1,2,2,3,104,123456
282,190283,1,2,1,2,2,3,2,2,1,3,2,2,178,804,123456
283,190284,2,1,2,1,1,3,1,3,2,2,2,2,159,710,123456
284,190285,2,2,1,1,2,1,2,1,2,2,1,2,30,206,123456
285,190286,2,1,4,2,2,4,2,3,1,2,3,2,46,222,123456
286,190287,2,1,1,1,1,4,2,2,1,3,3,2,65,316,123456
287,190288,2,2,2,1,2,4,2,3,1,1,2,1,66,317,123456
288,190289,1,2,4,1,3,4,2,1,2,3,1,2,30,206,123456
289,190290,2,1,3,1,2,1,2,2,1,3,3,1,66,317,123456
290,190291,1,2,3,1,1,2,2,1,1,1,2,2,137,613,123456
291,190292,2,1,4,1,2,2,2,2,1,1,2,2,66,317,123456
292,190293,2,1,3,1,1,2,1,2,1,1,3,1,91,417,123456
293,190294,1,1,4,1,2,3,2,1,1,3,1,1,31,207,123456
294,190295,1,2,1,2,1,1,1,2,2,1,2,1,117,518,123456
295,190296,2,2,1,2,3,3,1,1,1,3,2,2,3,104,123456
296,190297,1,2,4,1,2,2,1,1,1,1,3,1,91,417,123456
297,190298,2,1,4,2,1,4,1,1,1,2,2,1,15,116,123456
298,190299,2,1,2,2,2,4,1,3,1,1,3,2,15,116,123456
299,190300,2,1,2,2,2,3,1,2,2,2,1,1,117,518,123456
300,190301,1,2,2,2,3,1,1,1,2,3,3,2,117,518,123456
301,190302,2,2,3,1,3,1,1,2,2,3,1,1,91,417,123456
302,190303,2,2,2,1,2,2,2,1,1,2,3,2,66,317,123456
303,190304,1,1,4,2,3,3,2,2,2,2,3,1,46,222,123456
304,190305,2,1,4,1,1,3,1,3,2,1,1,1,159,710,123456
305,190306,1,1,1,2,3,4,2,2,2,1,3,2,46,222,123456
306,190307,2,1,2,2,2,2,1,1,1,2,2,2,117,518,123456
307,190308,2,1,2,1,3,3,1,1,2,3,2,2,91,417,123456
308,190309,1,2,3,1,2,4,1,2,1,3,2,1,159,710,123456
309,190310,1,1,4,1,1,4,1,2,2,3,3,2,159,710,123456
310,190311,1,1,4,1,2,3,2,3,1,2,2,1,31,207,123456
311,190312,1,2,3,2,3,4,1,2,1,3,2,1,3,104,123456
312,190313,2,2,3,1,1,2,2,3,2,2,1,1,66,317,123456
313,190314,1,2,3,2,1,1,2,3,2,2,3,1,178,804,123456
314,190315,2,1,4,1,3,2,2,1,2,3,2,2,31,207,123456
315,190316,2,2,1,1,1,3,2,3,2,1,3,2,67,318,123456
316,190317,2,1,2,1,1,2,1,1,1,1,2,2,92,418,123456
317,190318,2,1,3,2,3,4,1,3,2,2,3,2,15,116,123456
318,190319,1,2,3,1,1,2,2,1,2,3,2,1,138,614,123456
319,190320,2,2,2,2,2,4,2,1,1,3,3,1,179,805,123456
320,190321,1,1,1,2,2,1,2,1,2,2,1,2,47,223,123456
321,190322,2,1,4,1,1,4,2,1,1,3,1,2,31,207,123456
322,190323,1,1,1,1,1,1,2,2,1,3,2,1,138,614,123456
323,190324,2,2,3,2,1,2,2,1,1,1,2,1,179,805,123456
324,190325,1,2,1,1,2,4,1,1,2,2,1,1,159,710,123456
325,190326,2,1,4,2,1,2,1,1,2,3,1,2,118,519,123456
326,190327,2,2,1,1,3,4,1,1,1,2,1,1,160,711,123456
327,190328,2,2,1,2,1,2,2,3,1,2,3,2,179,805,123456
328,190329,1,2,3,2,1,1,1,3,1,3,2,2,118,519,123456
329,190330,1,1,1,2,2,2,1,1,2,1,1,1,118,519,123456
330,190331,2,2,2,2,2,4,2,3,2,3,3,2,179,805,123456
331,190332,1,1,4,2,1,3,2,1,1,2,3,1,47,223,123456
332,190333,2,2,3,1,3,4,1,2,1,1,1,1,160,711,123456
333,190334,1,1,4,1,1,3,1,3,1,3,2,1,160,711,123456
334,190335,1,2,2,1,3,2,2,1,2,2,1,2,31,207,123456
335,190336,2,2,1,1,3,2,2,1,2,1,3,1,67,318,123456
336,190337,1,1,4,1,2,2,2,2,2,3,2,1,32,208,123456
337,190338,2,2,3,2,3,1,1,1,1,3,1,1,118,519,123456
338,190339,1,1,2,2,1,4,2,3,2,2,3,1,47,223,123456
339,190340,2,2,1,2,2,4,1,2,1,2,1,2,4,105,123456
340,190341,2,1,4,2,2,3,1,3,2,3,3,1,15,116,123456
341,190342,2,2,1,2,2,4,1,2,2,3,2,2,4,105,123456
342,190343,2,1,1,2,3,2,1,2,1,1,2,1,118,519,123456
343,190344,1,1,3,2,1,2,1,2,1,3,2,2,16,117,123456
344,190345,1,2,4,2,3,1,1,1,1,3,2,2,119,520,123456
345,190346,1,2,4,2,2,2,2,1,1,3,3,2,179,805,123456
346,190347,2,1,3,2,3,2,1,3,2,3,1,2,119,520,123456
347,190348,2,2,4,1,3,3,2,3,1,3,3,1,67,318,123456
348,190349,1,2,2,2,3,2,2,2,2,1,2,1,180,806,123456
349,190350,2,1,3,2,3,2,2,3,1,3,3,2,47,223,123456
350,190351,2,2,2,2,1,1,1,3,1,1,3,2,119,520,123456
351,190352,1,2,3,2,1,1,2,3,1,1,2,1,180,806,123456
352,190353,1,1,2,1,3,1,2,1,2,2,1,2,32,208,123456
353,190354,1,2,4,2,3,1,2,3,2,1,3,2,180,806,123456
354,190355,1,1,1,1,3,4,1,2,2,1,3,1,160,711,123456
355,190356,2,2,2,1,3,1,2,1,2,3,1,1,32,208,123456
356,190357,2,2,3,1,1,4,2,2,1,1,3,2,67,318,123456
357,190358,2,2,3,2,3,2,2,1,2,1,1,2,180,806,123456
358,190359,2,1,3,1,2,2,2,2,1,1,2,1,67,318,123456
359,190360,2,2,2,2,1,3,2,2,2,2,2,1,180,806,123456
360,190361,2,1,2,2,1,1,2,1,2,3,2,2,47,223,123456
361,190362,1,2,3,1,2,4,1,3,2,3,3,1,160,711,123456
362,190363,2,1,3,2,3,3,1,2,2,1,2,1,16,117,123456
363,190364,2,1,3,1,1,4,2,3,2,1,3,1,68,319,123456
364,190365,2,1,4,1,1,3,1,1,1,3,1,2,92,418,123456
365,190366,2,2,4,1,1,2,1,3,2,3,1,2,92,418,123456
366,190367,1,1,1,2,2,1,1,2,1,1,1,2,119,520,123456
367,190368,2,2,4,2,2,3,2,1,2,3,3,1,181,807,123456
368,190369,2,1,3,2,3,2,2,1,2,1,2,1,48,224,123456
369,190370,1,1,4,2,2,1,1,2,1,2,3,2,16,117,123456
370,190371,2,2,3,1,3,3,2,1,2,1,3,1,68,319,123456
371,190372,2,2,3,2,3,2,2,2,1,2,3,1,181,807,123456
372,190373,2,1,3,1,1,1,1,2,1,1,3,1,92,418,123456
373,190374,2,2,1,2,1,2,1,2,2,2,2,2,119,520,123456
374,190375,1,1,2,2,1,3,1,2,1,1,3,2,16,117,123456
375,190376,2,2,3,2,1,3,2,2,2,1,1,1,181,807,123456
376,190377,1,2,3,1,1,3,1,2,1,2,3,2,92,418,123456
377,190378,1,1,4,1,3,3,2,3,2,1,3,2,68,319,123456
378,190379,1,2,3,2,2,3,1,1,2,3,2,2,4,105,123456
379,190380,2,2,4,1,1,3,1,3,1,2,1,1,161,712,123456
380,190381,2,2,4,2,2,1,2,2,2,1,2,2,181,807,123456
381,190382,1,2,4,1,1,1,1,2,2,3,1,2,93,419,123456
382,190383,1,2,2,1,3,3,2,3,1,1,1,1,138,614,123456
383,190384,1,2,1,1,1,2,2,2,2,1,3,1,138,614,123456
384,190385,1,2,4,2,3,1,2,2,1,3,2,2,181,807,123456
